state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
012,IMO,0120238,"GREEN UZO COMPREHENSIVE COLLEGE,IHIOMA",12026,"ST MARY'S PARISH, AMAIFEKE ORLU",AMAIFEKE ORLU,,,,,
012,IMO,0120239,"HOLY ROSARY SECONDARY SCHOOL,IHIOMA",12026,"ST MARY'S PARISH, AMAIFEKE ORLU",AMAIFEKE ORLU,,,,,
012,IMO,0120240,"URBAN SECONDARY SCHOOL, UMUNA ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120241,"EZIACHI SECONDARY SCHOOL, EZIACHI",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120242,"SECONDARY TECHNICAL SCHOOL,UMUOWA ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120243,"COMPREHENSIVE SECONDARY SCHOOL, UMUZIKE",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120244,"GIRLS' SECONDARY SCHOOL, ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120245,"COMMUNITY SECONDARY SCHOOL, OBINUGWU-ORLU",12026,"ST MARY'S PARISH, AMAIFEKE ORLU",AMAIFEKE ORLU,,,,,
012,IMO,0120246,"ST. MARIA GORETTI GIRLS' SECONDARY SCHOOL,UMUDIOKA ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120247,"OJIKE MEMORIAL SECONDARY SCHOOL, ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120248,"COMMUNITY SECONDARY SCHOOL, MGBEE",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120249,ORSU IHITTEUKWA SECONDARY SCHOOL,12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120250,"GIRLS' SECONDARY SCHOOL, AWO- IDEMILI",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120251,"IHITTE-OWERRE SECONDARY SCHOOL , ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120252,"UMUHU-OKABIA SECONDARY SCHOOL, ORSU",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120253,"COMMUNITY SECONDARY SCHOOL, AWO-IDEMILI",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120254,"IHITENANSA SECONDARY SCHOOL, ORSU",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120255,AMANNACHI SECONDARY COMMERCIAL SCHOOL,12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120256,"COMPREHENSIVE SECONDARY SCHOOL, EZIAWA",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120257,"TRINITY SECONDARY SCHOOL, ORSU-IHITTEUKWA",12017,"REGINA PACIS PARISH, IHIOMA ORLU",IHIOMA ORLU,,,,,
012,IMO,0120258,"SECONDARY TECHNICAL SCHOOL , OMUMA",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120259,"AMIRI SECONDARY SCHOOL, AMIRI",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120260,"UMUORJI GIRLS' SECONDARY SCHOOL,  , MGBIDI",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120261,"AKATTA SECONDARY SCHOOL, ORU EAST",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120262,"AKUMA SECONDARY SCHOOL, ORU EAST",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120263,"NEMPI SECONDARY SCHOOL, ORU WEST",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120264,"COMPREHENSIVE SECONDARY SCHOOL, OZARA",12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120265,"COMPREHENSIVE SECONDARY SCHOOL, AWO-OMAMMA",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120266,MGBIDI SECONDARY SCHOOL,12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120267,"SECONDARY TECHNICAL SCHOOL , AWO-OMAMMA",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120268,"UBOGWU SECONDARY COMMERCIAL SCHOOL, AWO-OMAMMA",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120269,AMIRI GIRLS' SECONDARY SCHOOL,12019,"ST. MARY'S PARISH, UMUORJI MGBIDI",MGBIDI,,,,,
012,IMO,0120270,"COMPREHENSIVE SECONDARY SCHOOL , UBULU",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120271,OHAKPU SECONDARY COMMERCIAL SCHOOL,12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120272,OTULU SECONDARY COMMERCIAL SCHOOL,12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120273,"UCHENNA SECONDARY SCHOOL,AWO-OMAMMA",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120274,"GIRLS' SECONDARY SCHOOL,AKWAKUMA",12032,"SACRED HEART PARISH, AKWAKUMA",AKWAKUMA,,,,,
012,IMO,0120275,URATTA SECONDARY SCHOOL,12002,"NECO OFFICE, OWERRI  II",OWERRI,,,,,
012,IMO,0120276,"IHIAGWA SECONDARY SCHOOL,IHIAGWA",12028,"ST.PATRICK PARISH, NEKEDE",NEKEDE,,,,,
012,IMO,0120277,"ARA SECONDARY SCHOOL, OWERRI WEST",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120278,NAZE SECONDARY SCHOOL(OWERRI NORTH LGA,12027,"ST JOSEPH'S PARISH, ULAKWO ( OWERRI NORTH)",ULAKWO,,,,,
012,IMO,0120279,"NEKEDE SECONDARY SCHOOL,OWERRI WEST",12028,"ST.PATRICK PARISH, NEKEDE",NEKEDE,,,,,
012,IMO,0120280,"IRETE SECONDARY SCHOOL,OWERRI WEST",12022,"ST KELVIN'S PARISH, OGBAKU",OGBAKU,,,,,
012,IMO,0120281,"COMMUNITY SECONDARY SCHOOL,AMAINYINTA-IHITTE UBOMA",12009,"ST CYPRIAN ANGLICAN CHURCH, UMUIHI",UMUIHI,,,,,
012,IMO,0120282,"COMMUNITY SECONDARY SCHOOL, OROGWE",12022,"ST KELVIN'S PARISH, OGBAKU",OGBAKU,,,,,
012,IMO,0120283,"COMPREHENSIVE SECONDARY SCHOOL,EMEABIAM",12028,"ST.PATRICK PARISH, NEKEDE",NEKEDE,,,,,
012,IMO,0120284,"BISHOP LASBREY GIRLS' SECONDARY SCHOOL,IRETE",12022,"ST KELVIN'S PARISH, OGBAKU",OGBAKU,,,,,
012,IMO,0120285,"GOVERNMENT SECONDARY SCHOOL, OWERRI",12001,"NECO OFFICE, OWERRI 1",OWERRI,,,,,
012,IMO,0120286,"HOLY GHOST COLLEGE, OWERRI",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120287,"OWERRI GIRLS' SECONDARY SCHOOL,OWERRI",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120288,EMMANUEL COLLEGE OWERRI,12001,"NECO OFFICE, OWERRI 1",OWERRI,,,,,
012,IMO,0120289,EGBU GIRLS' SECONDARY  SCHOOL,12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120290,AZARAEGBELU  SECONDARY SCHOOL,12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
