state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
005,Bauchi,0052578,"GOVT JUNIOR SEC. SCHOOL, MARTIN GIJI T/BALEWA",,,,,,,,
005,Bauchi,0052579,"GOVT JUNIOR SEC. SCHOOL, DUNGA T/BALEWA",,,,,,,,
018,Kogi,0182122,UBE/JSS ODEKE,,,,,,,,
018,Kogi,0182123,UBE/JSS OBALE,,,,,,,,
005,Bauchi,0052580,"GOVT JUNIOR SEC. SCHOOL, BOGORO",,,,,,,,
018,Kogi,0182124,JSS ONYEDEGA,,,,,,,,
005,Bauchi,0052581,"GOVT JUNIOR SEC. SCHOOL, SARA TAFAWA BALEWA",,,,,,,,
005,Bauchi,0052582,"GOVT DAY JUNIOR SEC. SCHOOL, BOI BOGORO",,,,,,,,
025,Oyo,0258121,"PROLIFIC ERUDITE COLLEGE,  OJOO, IBADAN",,,,,,,,
025,Oyo,0258308,"AL-QALAM COLLEGE, OLOGUNERU IBADAN",,,,,,,,
002,Adamawa,0028388,"NEXORA ACADEMY, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
018,Kogi,0182326,COMM. SEC SCH IGBO-ERO,,,,,,,,
018,Kogi,0182327,"ST. KIZITO'S COLL ,ISANLU",,,,,,,,
005,Bauchi,0052583,"GCSS, MALAKRI TAFAWA BALEWA",,,,,,,,
018,Kogi,0182328,GOVT.DAY SCI. SCH ISANLU,,,,,,,,
027,Rivers,0273739,"HUMILITY KNOWLEDGE ACADEMY, PORT-HARCOURT",27017,"KALA POLICE STATION, PH",RUMUOKWUTA,,,,,
018,Kogi,0182378,"SOLARDAD COLLEGE, OKENE",,,,,,,,
018,Kogi,0182379,"EXCELLENCE COLLEGE, OKENE",,,,,,,,
027,Rivers,0274414,"HERITAGE CREST INTERNATIONAL SCHOOL, PORT- HARCOURT",27022,"POLICE STATION, CHOBA",CHOBA,,,,,
009,Delta,0091013,"COMMAND SECONDARY SCHOOL, MBIRI",09005,POLICE STATION UMUNEDE,UMUNEDE,,,,,
005,Bauchi,0052584,"GOVT JUNIOR SEC. SCHOOL, MUSANYI TAFAWA BALEWA",,,,,,,,
005,Bauchi,0052585,"GOVT JUNIOR SEC. SCHOOL, YELWAN DUGURI",,,,,,,,
018,Kogi,0182380,UBE/JSS EYOODODO,,,,,,,,
018,Kogi,0182381,"GOVT. SEC. SCHL, OKENE",,,,,,,,
028,Sokoto,0280038,"F.G.C, SOKOTO",28001,"NECO STATE OFFICE, SOKOTO",SOKOTO,,,,,
